"","Value","S","K","tau","r","BS"
"1178",139.125,1471.36,1350,0.104109589041096,0.0111,"Under"
"1179",238.125,1440.51,1225,0.178082191780822,0.0113,"Under"
"1180",335.875,1445.57,1200,0.906849315068493,0.0112,"Under"
"1181",236.75,1427.47,1200,0.0849315068493151,0.0114,"Under"
"1182",31.625,1469.44,1650,0.50958904109589,0.0111,"Over"
"1183",42.5,1514.09,1525,0.147945205479452,0.0109,"Over"
"1184",57,1315.23,1375,0.29041095890411,0.0124,"Under"
"1185",211.25,1351.26,1150,0.0904109589041096,0.0121,"Under"
"1186",174.125,1416.83,1375,0.849315068493151,0.0114,"Under"
"1187",434.875,1402.11,975,0.2,0.0116,"Under"
"1188",93.125,1464.92,1425,0.216438356164384,0.0111,"Under"
"1189",14.5,1387.02,1450,0.106849315068493,0.0118,"Over"
"1190",125,1399.42,1425,0.701369863013699,0.0116,"Under"
"1191",61,1465.15,1450,0.175342465753425,0.0111,"Over"
"1192",570.875,1480.87,950,0.753424657534247,0.0111,"Under"
"1193",619.375,1498.58,900,0.463013698630137,0.0109,"Under"
"1194",78,1379.19,1375,0.295890410958904,0.0118,"Under"
"1195",147,1441.72,1350,0.356164383561644,0.0112,"Under"
"1196",61,1487.92,1510,0.216438356164384,0.0109,"Under"
"1197",397.875,1320.28,950,0.463013698630137,0.012,"Under"
"1198",71.5,1409.28,1375,0.104109589041096,0.0116,"Under"
"1199",166.75,1478.9,1325,0.117808219178082,0.0112,"Under"
"1200",461.25,1475.95,1050,0.49041095890411,0.0111,"Under"
"1201",116,1424.37,1325,0.117808219178082,0.0114,"Under"
"1202",25.75,1349.97,1425,0.164383561643836,0.0121,"Under"
"1203",21.75,1409.12,1460,0.123287671232877,0.0115,"Over"
"1204",104,1364.59,1350,0.43013698630137,0.012,"Under"
"1205",16.375,1441.61,1525,0.164383561643836,0.0113,"Over"
"1206",176.875,1389.94,1225,0.0904109589041096,0.0117,"Under"
"1207",23.5,1409.28,1450,0.126027397260274,0.0115,"Over"
"1208",341.875,1411.71,1075,0.104109589041096,0.0115,"Under"
"1209",143.5,1481.99,1375,0.183561643835616,0.0111,"Under"
"1210",148.625,1388.76,1350,0.657534246575342,0.0118,"Under"
"1211",27.75,1472.87,1600,0.353424657534247,0.0112,"Over"
"1212",114.375,1444.51,1375,0.243835616438356,0.0114,"Under"
"1213",4.75,1465.15,1550,0.0986301369863014,0.0111,"Over"
"1214",417.5,1510.49,1100,0.167123287671233,0.0109,"Under"
"1215",241.25,1470.54,1300,0.506849315068493,0.0111,"Under"
"1216",259.625,1479.32,1250,0.358904109589041,0.0111,"Under"
"1217",26,1407.81,1450,0.101369863013699,0.0116,"Under"
"1218",155.75,1426.69,1325,0.367123287671233,0.0115,"Under"
"1219",61.625,1478.9,1550,0.443835616438356,0.0112,"Under"
"1220",60,1458.47,1450,0.178082191780822,0.0111,"Over"
"1221",223.5,1374.17,1200,0.424657534246575,0.0119,"Under"
"1222",147,1450.55,1400,0.471232876712329,0.0113,"Under"
"1223",91.125,1387.12,1500,0.846575342465753,0.0117,"Under"
"1224",1.5,1305.6,1450,0.0876712328767123,0.0125,"Over"
"1225",20,1356.56,1485,0.175342465753425,0.012,"Under"
"1226",106.5,1505.97,1450,0.315068493150685,0.011,"Over"
"1227",42,1421.22,1430,0.123287671232877,0.0115,"Under"
"1228",21.5,1457.6,1500,0.10958904109589,0.0111,"Over"
"1229",15,1441.48,1700,0.482191780821918,0.0113,"Over"
"1230",86.5,1402.11,1425,0.449315068493151,0.0116,"Under"
"1231",2.625,1451.34,1800,0.487671232876712,0.0114,"Over"
"1232",86.5,1478.9,1500,0.443835616438356,0.0112,"Under"
"1233",146.25,1505.97,1450,0.564383561643836,0.011,"Under"
"1234",92,1424.24,1350,0.10958904109589,0.0114,"Under"
"1235",14.375,1424.24,1480,0.10958904109589,0.0114,"Over"
"1236",447.875,1452.56,1025,0.36986301369863,0.0114,"Under"
"1237",372.625,1438.56,1100,0.432876712328767,0.0113,"Under"
"1238",105.5,1449.62,1425,0.389041095890411,0.0114,"Under"
"1239",82,1342.13,1425,0.66027397260274,0.0122,"Under"
"1240",86.625,1392.14,1350,0.180821917808219,0.0116,"Under"
"1241",100,1387.02,1450,0.682191780821918,0.0118,"Under"
"1242",124.375,1366.42,1400,0.797260273972603,0.0119,"Under"
"1243",147.25,1450.55,1325,0.145205479452055,0.0113,"Under"
"1244",40,1452.42,1475,0.142465753424658,0.0114,"Under"
"1245",207,1389.81,1225,0.334246575342466,0.0118,"Under"
"1246",141.625,1484.91,1475,0.756164383561644,0.0111,"Under"
"1247",127.75,1409.28,1350,0.375342465753425,0.0115,"Under"
"1248",14.375,1481.96,1525,0.0849315068493151,0.0111,"Over"
"1249",77,1383.62,1375,0.263013698630137,0.0117,"Under"
"1250",105.75,1501.34,1425,0.120547945205479,0.0109,"Under"
"1251",45.75,1447.8,1700,0.832876712328767,0.0113,"Under"
"1252",12.5,1312.15,1380,0.0986301369863014,0.0125,"Over"
"1253",166.625,1430.83,1275,0.128767123287671,0.0115,"Under"
"1254",34,1409.17,1425,0.117808219178082,0.0115,"Over"
"1255",103.625,1409.28,1350,0.202739726027397,0.0115,"Under"
"1256",163,1475.95,1350,0.241095890410959,0.0111,"Under"
"1257",10.875,1428.32,1625,0.36986301369863,0.0115,"Over"
"1258",87.125,1348.05,1450,0.8,0.012,"Under"
"1259",111.25,1389.81,1400,0.583561643835616,0.0118,"Under"
"1260",20.5,1374.17,1430,0.175342465753425,0.0119,"Over"
"1261",138,1420.6,1400,0.545205479452055,0.0115,"Under"
"1262",239.125,1436.23,1250,0.454794520547945,0.0114,"Under"
"1263",137,1466.04,1450,0.586301369863014,0.0111,"Under"
"1264",108.875,1516.35,1450,0.194520547945205,0.0108,"Under"
"1265",101.25,1446.29,1500,0.624657534246575,0.0113,"Under"
"1266",133,1464.92,1400,0.389041095890411,0.0111,"Under"
"1267",230.125,1446.29,1225,0.126027397260274,0.0113,"Under"
"1268",50,1480.87,1515,0.254794520547945,0.0111,"Over"
"1269",45,1398.66,1475,0.378082191780822,0.0117,"Over"
"1270",31.5,1454.6,1500,0.213698630136986,0.0113,"Over"
"1271",83.625,1353.43,1325,0.235616438356164,0.012,"Under"
"1272",49,1436.23,1460,0.205479452054795,0.0114,"Under"
"1273",18,1356.56,1700,0.673972602739726,0.012,"Under"
"1274",52.25,1448.81,1500,0.293150684931507,0.0113,"Under"
"1275",204.625,1424.37,1300,0.616438356164384,0.0114,"Under"
"1276",0.4375,1395.07,1750,0.271232876712329,0.0116,"Over"
"1277",180.125,1356.56,1300,0.673972602739726,0.012,"Under"
"1278",7,1349.97,1450,0.0876712328767123,0.0121,"Under"
"1279",122.5,1492.25,1425,0.276712328767123,0.0111,"Under"
"1280",74,1480.88,1460,0.183561643835616,0.0111,"Under"
"1281",72,1356.56,1425,0.424657534246575,0.012,"Under"
"1282",13.75,1412.14,1500,0.106849315068493,0.0116,"Under"
"1283",64,1445.57,1500,0.408219178082192,0.0112,"Under"
"1284",189.375,1400.72,1300,0.56986301369863,0.0117,"Under"
"1285",568.375,1402.11,850,0.449315068493151,0.0116,"Under"
"1286",518.75,1431.87,950,0.605479452054794,0.0114,"Under"
"1287",351,1324.97,995,0.282191780821918,0.0124,"Under"
"1288",278.125,1434.54,1200,0.408219178082192,0.0114,"Under"
"1289",208.75,1447.8,1250,0.0849315068493151,0.0113,"Under"
"1290",259.25,1495.84,1250,0.178082191780822,0.011,"Under"
"1291",54.5,1471.84,1600,0.597260273972603,0.0112,"Over"
"1292",57,1493.87,1490,0.241095890410959,0.0109,"Over"
"1293",191.375,1396.93,1300,0.654794520547945,0.0117,"Under"
"1294",280.375,1475.95,1250,0.49041095890411,0.0111,"Under"
"1295",106,1448.72,1375,0.232876712328767,0.0114,"Over"
"1296",158.5,1424.24,1275,0.10958904109589,0.0114,"Under"
"1297",308,1400.72,1150,0.56986301369863,0.0117,"Under"
"1298",103.75,1430.83,1400,0.378082191780822,0.0115,"Under"
"1299",60,1474.47,1525,0.394520547945205,0.0112,"Over"
"1300",142,1491.56,1400,0.33972602739726,0.0111,"Under"
"1301",309.625,1396.93,1100,0.156164383561644,0.0117,"Under"
"1302",176.25,1500.64,1450,0.736986301369863,0.0108,"Under"
"1303",88.875,1364.9,1425,0.641095890410959,0.012,"Under"
"1304",79.375,1487.92,1450,0.13972602739726,0.0109,"Under"
"1305",431.125,1493.87,1075,0.241095890410959,0.0109,"Under"
"1306",283.625,1474.47,1225,0.394520547945205,0.0112,"Under"
"1307",343.125,1502.59,1200,0.545205479452055,0.011,"Under"
"1308",64.75,1477.26,1475,0.213698630136986,0.011,"Under"
"1309",35.25,1371.18,1395,0.106849315068493,0.0119,"Under"
"1310",56,1305.95,1300,0.156164383561644,0.0125,"Under"
"1311",124.5,1507.08,1400,0.126027397260274,0.0109,"Under"
"1312",158.625,1449.62,1450,0.887671232876712,0.0114,"Under"
"1313",76,1392.14,1340,0.0849315068493151,0.0116,"Under"
"1314",216.75,1465.15,1300,0.424657534246575,0.0111,"Under"
"1315",91,1445.57,1450,0.408219178082192,0.0112,"Under"
"1316",125.5,1438.56,1500,0.931506849315068,0.0113,"Under"
"1317",229.75,1468.25,1250,0.128767123287671,0.0111,"Under"
"1318",240.625,1520.77,1375,0.789041095890411,0.0108,"Under"
"1319",193.125,1507.08,1350,0.279452054794521,0.0109,"Under"
"1320",131.5,1305.95,1350,0.980821917808219,0.0125,"Under"
"1321",12.75,1324.97,1425,0.128767123287671,0.0124,"Under"
"1322",11.5,1369.89,1425,0.117808219178082,0.0119,"Over"
"1323",447.875,1452.56,1025,0.36986301369863,0.0114,"Under"
"1324",133.125,1461.67,1350,0.101369863013699,0.0112,"Under"
"1325",85.125,1471.84,1425,0.194520547945205,0.0112,"Under"
"1326",58.5,1468.25,1455,0.128767123287671,0.0111,"Under"
"1327",7.125,1427.21,1700,0.471232876712329,0.0116,"Over"
"1328",189.625,1441.48,1325,0.482191780821918,0.0113,"Under"
"1329",51.125,1364.59,1525,0.67945205479452,0.012,"Under"
"1330",25,1373.86,1450,0.145205479452055,0.0119,"Under"
"1331",149,1409.12,1275,0.123287671232877,0.0115,"Under"
"1332",28,1466.04,1600,0.336986301369863,0.0111,"Over"
"1333",19.125,1455.31,1525,0.147945205479452,0.0112,"Over"
"1334",158.5,1380.2,1300,0.512328767123288,0.0119,"Under"
"1335",250.375,1481.96,1250,0.161643835616438,0.0111,"Under"
"1336",113,1409.17,1400,0.53972602739726,0.0115,"Under"
"1337",23,1494.73,1800,0.701369863013699,0.0109,"Over"
"1338",113.5,1505.97,1500,0.564383561643836,0.011,"Under"
"1339",274.5,1527.46,1300,0.232876712328767,0.0106,"Under"
"1340",124.375,1477.26,1375,0.117808219178082,0.011,"Under"
"1341",17,1374.17,1475,0.175342465753425,0.0119,"Over"
"1342",224.75,1449.68,1350,0.926027397260274,0.0112,"Under"
"1343",180.25,1444.51,1275,0.0904109589041096,0.0114,"Under"
"1344",39,1474.47,1575,0.394520547945205,0.0112,"Over"
"1345",1,1365.98,1900,0.597260273972603,0.012,"Over"
"1346",144.5,1468.25,1500,0.876712328767123,0.0111,"Under"
"1347",81,1449.05,1475,0.484931506849315,0.0114,"Over"
"1348",214.5,1398.66,1200,0.128767123287671,0.0117,"Under"
"1349",126.375,1523.86,1425,0.147945205479452,0.0106,"Under"
"1350",221.625,1505.97,1400,0.704109589041096,0.0108,"Under"
"1351",64.5,1495.57,1475,0.158904109589041,0.011,"Over"
"1352",57,1349.97,1350,0.164383561643836,0.0121,"Under"
"1353",127,1462.93,1450,0.616438356164384,0.0113,"Under"
"1354",50,1494.5,1525,0.271232876712329,0.011,"Over"
"1355",82.5,1346.09,1350,0.328767123287671,0.012,"Under"
"1356",163.25,1367.72,1250,0.328767123287671,0.012,"Under"
"1357",198.625,1387.12,1200,0.0986301369863014,0.0117,"Under"
"1358",249.625,1410.03,1200,0.394520547945205,0.0115,"Under"
"1359",62,1395.78,1450,0.397260273972603,0.0117,"Under"
"1360",218.625,1469.54,1275,0.205479452054795,0.0112,"Under"
"1361",62.5,1387.02,1450,0.432876712328767,0.0118,"Under"
"1362",116.625,1387.12,1450,0.846575342465753,0.0117,"Under"
"1363",13.5,1493.74,1550,0.0876712328767123,0.011,"Over"
"1364",26,1464.47,1525,0.175342465753425,0.0111,"Over"
"1365",136,1399.42,1350,0.452054794520548,0.0116,"Under"
"1366",141,1356.56,1400,0.673972602739726,0.012,"Under"
"1367",241.875,1469.54,1250,0.205479452054795,0.0112,"Under"
"1368",21.25,1487.37,1600,0.2,0.011,"Over"
"1369",281,1387.67,1200,0.832876712328767,0.0117,"Under"
"1370",4.125,1396.93,1800,0.654794520547945,0.0117,"Over"
"1371",338.25,1523.86,1200,0.224657534246575,0.0106,"Under"
"1372",66,1501.34,1500,0.197260273972603,0.0109,"Under"
"1373",198.125,1438.1,1250,0.126027397260274,0.0115,"Under"
"1374",204,1448.81,1325,0.542465753424658,0.0113,"Under"
"1375",23.5,1410.03,1460,0.145205479452055,0.0115,"Over"
"1376",108.875,1464.29,1400,0.147945205479452,0.0113,"Under"
"1377",50,1481.99,1520,0.26027397260274,0.0111,"Over"
"1378",44,1409.28,1410,0.126027397260274,0.0115,"Over"
"1379",1.0625,1322.74,1500,0.0904109589041096,0.0124,"Over"
"1380",13.75,1360.16,1575,0.386301369863014,0.0119,"Over"
"1381",84,1496.07,1550,0.580821917808219,0.011,"Under"
"1382",79.125,1455.9,1420,0.161643835616438,0.0111,"Under"
"1383",34.5,1312.15,1325,0.0986301369863014,0.0125,"Under"
"1384",100.25,1353.43,1375,0.561643835616438,0.012,"Under"
"1385",24.375,1464.29,1575,0.243835616438356,0.0113,"Over"
"1386",141.5,1484.43,1400,0.336986301369863,0.0111,"Under"
"1387",99.875,1481.96,1400,0.0849315068493151,0.0111,"Under"
"1388",37.5,1479.13,1500,0.161643835616438,0.011,"Over"
"1389",215.75,1401.53,1200,0.147945205479452,0.0116,"Under"
"1390",68,1469.44,1525,0.50958904109589,0.0111,"Over"
"1391",109.625,1348.05,1350,0.550684931506849,0.012,"Under"
"1392",53.875,1523.86,1650,0.473972602739726,0.0106,"Under"
"1393",227,1496.07,1300,0.331506849315069,0.011,"Under"
"1394",64,1422.45,1450,0.298630136986301,0.0115,"Under"
"1395",400.25,1424.97,1050,0.36986301369863,0.0114,"Under"
"1396",134,1427.47,1325,0.161643835616438,0.0114,"Under"
"1397",181.75,1366.7,1250,0.526027397260274,0.0119,"Under"
"1398",195.75,1402.11,1350,0.947945205479452,0.0116,"Under"
"1399",109,1427.47,1350,0.0849315068493151,0.0114,"Under"
"1400",100,1387.02,1450,0.682191780821918,0.0118,"Under"
"1401",291.75,1507.73,1275,0.471232876712329,0.0108,"Under"
"1402",165.5,1394.46,1375,0.876712328767123,0.0116,"Under"
"1403",148.5,1429.4,1300,0.126027397260274,0.0114,"Under"
"1404",0.5,1402.11,1700,0.2,0.0116,"Over"
"1405",138.875,1507.08,1400,0.202739726027397,0.0109,"Under"
"1406",217,1395.07,1200,0.0986301369863014,0.0116,"Under"
"1407",17,1400.72,1550,0.320547945205479,0.0117,"Over"
"1408",46,1455.9,1465,0.161643835616438,0.0111,"Over"
"1409",105,1482.8,1450,0.356164383561644,0.0111,"Under"
"1410",460.375,1441.47,1050,0.942465753424658,0.0112,"Under"
"1411",548.375,1432.25,900,0.43013698630137,0.0113,"Under"
"1412",137,1333.36,1250,0.30958904109589,0.0122,"Under"
"1413",146.125,1409.28,1325,0.375342465753425,0.0115,"Under"
"1414",51,1493.74,1500,0.164383561643836,0.011,"Over"
"1415",50,1409.28,1425,0.202739726027397,0.0115,"Over"
"1416",42.375,1353.43,1370,0.13972602739726,0.012,"Under"
"1417",423.75,1429.86,1050,0.646575342465753,0.0114,"Under"
"1418",348.75,1460.99,1125,0.142465753424658,0.0112,"Under"
"1419",49.5,1409.17,1600,0.789041095890411,0.0115,"Over"
"1420",378.625,1472.87,1100,0.104109589041096,0.0112,"Under"
"1421",14,1449.05,1525,0.158904109589041,0.0114,"Over"
"1422",58,1420.6,1475,0.295890410958904,0.0115,"Under"
"1423",33,1389.94,1400,0.0904109589041096,0.0117,"Under"
"1424",148.5,1383.05,1300,0.353424657534247,0.0118,"Under"
"1425",223,1466.04,1250,0.0876712328767123,0.0111,"Under"
"1426",26.5,1449.05,1700,0.734246575342466,0.0114,"Over"
"1427",21,1320.28,1400,0.136986301369863,0.012,"Under"
"1428",58.125,1460.99,1460,0.142465753424658,0.0112,"Under"
"1429",72,1422.45,1425,0.298630136986301,0.0115,"Under"
"1430",250.875,1454.6,1250,0.463013698630137,0.0113,"Under"
"1431",280,1471.36,1200,0.104109589041096,0.0111,"Under"
"1432",58,1420.6,1475,0.295890410958904,0.0115,"Under"
"1433",640.375,1408.99,800,0.693150684931507,0.0116,"Under"
"1434",353.75,1487.37,1150,0.2,0.011,"Under"
"1435",153.375,1341.93,1200,0.142465753424658,0.0122,"Under"
"1436",8.75,1274.86,1550,0.484931506849315,0.0128,"Over"
"1437",72.75,1333.36,1325,0.232876712328767,0.0122,"Under"
"1438",3.875,1355.62,1700,0.528767123287671,0.012,"Over"
"1439",268.625,1429.86,1200,0.397260273972603,0.0114,"Under"
"1440",38,1415.1,1440,0.123287671232877,0.0115,"Under"
"1441",71.5,1450.55,1450,0.221917808219178,0.0113,"Under"
"1442",40,1431.87,1435,0.106849315068493,0.0114,"Over"
"1443",64,1474.47,1475,0.241095890410959,0.0112,"Over"
"1444",59.5,1328.92,1345,0.219178082191781,0.0123,"Under"
"1445",105.75,1459.9,1450,0.49041095890411,0.0113,"Under"
"1446",28,1389.94,1450,0.167123287671233,0.0117,"Under"
"1447",236.5,1523.86,1300,0.147945205479452,0.0106,"Under"
"1448",180.25,1501.34,1350,0.197260273972603,0.0109,"Under"
"1449",385.75,1469.54,1100,0.205479452054795,0.0112,"Under"
"1450",161.375,1264.74,1175,0.487671232876712,0.0129,"Under"
"1451",29,1411.71,1440,0.104109589041096,0.0115,"Under"
"1452",19,1383.05,1500,0.180821917808219,0.0118,"Under"
"1453",31,1383.05,1525,0.353424657534247,0.0118,"Under"
"1454",568,1464.47,900,0.252054794520548,0.0111,"Under"
"1455",101.625,1351.46,1275,0.123287671232877,0.0121,"Under"
"1456",52,1451.34,1460,0.238356164383562,0.0114,"Over"
"1457",162,1455.14,1450,0.912328767123288,0.0111,"Under"
"1458",30,1508.52,1800,0.717808219178082,0.0107,"Over"
"1459",61,1487.92,1510,0.216438356164384,0.0109,"Under"
"1460",44.5,1475.62,1475,0.10958904109589,0.0112,"Under"
"1461",19.375,1379.58,1650,0.635616438356164,0.0119,"Over"
"1462",28.875,1412.14,1650,0.605479452054794,0.0116,"Under"
"1463",38.375,1412.14,1700,0.854794520547945,0.0116,"Under"
"1464",127.625,1500.59,1400,0.106849315068493,0.0109,"Under"
"1465",42.625,1364.9,1390,0.142465753424658,0.012,"Under"
"1466",104.25,1436.23,1375,0.205479452054795,0.0114,"Under"
"1467",259.25,1495.84,1250,0.178082191780822,0.011,"Under"
"1468",16.125,1315.23,1575,0.53972602739726,0.0124,"Over"
"1469",75.375,1446.23,1400,0.123287671232877,0.0114,"Under"
"1470",199.875,1449.05,1275,0.235616438356164,0.0114,"Under"
"1471",190.125,1471.84,1300,0.194520547945205,0.0112,"Under"
"1472",51.5,1340.93,1350,0.178082191780822,0.0122,"Under"
"1473",433.125,1404.09,995,0.391780821917808,0.0115,"Under"
"1474",53.5,1342.13,1325,0.0849315068493151,0.0122,"Under"
"1475",277.625,1346.09,1100,0.328767123287671,0.012,"Under"
"1476",378.125,1471.36,1100,0.104109589041096,0.0111,"Under"
"1477",124.125,1351.46,1325,0.526027397260274,0.0121,"Under"
"1478",91,1409.57,1425,0.36986301369863,0.0116,"Under"
"1479",154,1437.21,1400,0.580821917808219,0.0114,"Under"
"1480",382.875,1467.63,1100,0.205479452054795,0.0111,"Under"
"1481",128.75,1343.55,1225,0.120547945205479,0.0122,"Under"
"1482",110.75,1438.1,1400,0.375342465753425,0.0115,"Under"
"1483",209.75,1387.12,1300,0.846575342465753,0.0117,"Under"
"1484",279.875,1484.43,1300,0.835616438356164,0.0111,"Under"
"1485",244.25,1364.59,1200,0.67945205479452,0.012,"Under"
"1486",2,1349.97,1500,0.0876712328767123,0.0121,"Over"
"1487",56,1486,1490,0.243835616438356,0.011,"Over"
"1488",366.5,1322.74,995,0.493150684931507,0.0124,"Under"
"1489",31.5,1426.46,1450,0.126027397260274,0.0115,"Over"
"1490",195.125,1379.19,1200,0.123287671232877,0.0118,"Under"
"1491",117.625,1389.94,1450,0.838356164383562,0.0117,"Under"
"1492",100,1395.07,1475,0.76986301369863,0.0116,"Under"
"1493",248.875,1314.95,1100,0.293150684931507,0.0124,"Under"
"1494",71.5,1343.55,1350,0.273972602739726,0.0122,"Under"
"1495",220,1395.78,1200,0.147945205479452,0.0117,"Under"
"1496",37.375,1452.56,1550,0.36986301369863,0.0114,"Over"
"1497",152,1437.21,1450,0.83013698630137,0.0114,"Under"
"1498",157,1464.92,1425,0.638356164383562,0.0111,"Under"
"1499",36,1264.74,1500,0.736986301369863,0.0129,"Under"
"1500",64.5,1416.83,1375,0.101369863013699,0.0114,"Over"
"1501",84,1427.21,1400,0.221917808219178,0.0116,"Under"
"1502",1,1401.44,1625,0.0904109589041096,0.0116,"Under"
"1503",15.5,1349.97,1650,0.663013698630137,0.0121,"Over"
"1504",134.375,1502.51,1400,0.197260273972603,0.011,"Under"
"1505",44.75,1505.97,1650,0.454794520547945,0.0108,"Under"
"1506",165.5,1475.95,1400,0.49041095890411,0.0111,"Under"
"1507",98.875,1446.23,1450,0.449315068493151,0.0114,"Under"
"1508",48.625,1364.44,1370,0.13972602739726,0.012,"Under"
"1509",81.125,1460.99,1425,0.142465753424658,0.0112,"Under"
"1510",27.75,1499.48,1600,0.320547945205479,0.011,"Over"
"1511",223.625,1359.15,1200,0.50958904109589,0.0119,"Under"
"1512",49.25,1441.72,1425,0.106849315068493,0.0112,"Over"
"1513",114.375,1444.51,1375,0.243835616438356,0.0114,"Under"
"1514",313,1464.46,1200,0.501369863013699,0.0111,"Under"
"1515",41,1406.95,1450,0.156164383561644,0.0116,"Under"
"1516",207.375,1420.96,1225,0.0986301369863014,0.0115,"Under"
"1517",28.625,1441.36,1750,0.904109589041096,0.0112,"Over"
"1518",315.125,1402.03,1100,0.186301369863014,0.0117,"Under"
"1519",108.5,1395.07,1400,0.520547945205479,0.0116,"Under"
"1520",621.625,1409.28,800,0.375342465753425,0.0115,"Under"
"1521",52,1459.9,1480,0.241095890410959,0.0113,"Over"
"1522",339.75,1427.21,1100,0.221917808219178,0.0116,"Under"
"1523",344.875,1438.7,1125,0.372602739726027,0.0115,"Under"
"1524",35,1441.61,1575,0.413698630136986,0.0113,"Over"
"1525",46.625,1467.63,1475,0.10958904109589,0.0111,"Under"
"1526",268.125,1484.43,1225,0.0876712328767123,0.0111,"Under"
"1527",162.25,1420.6,1275,0.123287671232877,0.0115,"Under"
"1528",23.75,1461.67,1550,0.197260273972603,0.0112,"Over"
"1529",11,1467.17,1575,0.104109589041096,0.0111,"Under"
"1530",45.5,1402.03,1400,0.10958904109589,0.0117,"Under"
"1531",85.5,1420.6,1425,0.295890410958904,0.0115,"Under"
"1532",69.375,1340.93,1400,0.504109589041096,0.0122,"Under"
"1533",26.5,1328.92,1425,0.219178082191781,0.0123,"Under"
"1534",155.25,1328.92,1200,0.142465753424658,0.0123,"Under"
"1535",160,1494.73,1500,0.701369863013699,0.0109,"Under"
"1536",15,1438.56,1650,0.432876712328767,0.0113,"Over"
"1537",173.25,1494.73,1350,0.126027397260274,0.0109,"Under"
"1538",83,1455.22,1500,0.454794520547945,0.0111,"Under"
"1539",7.875,1320.28,1600,0.463013698630137,0.012,"Over"
"1540",161.875,1360.16,1350,0.884931506849315,0.0119,"Under"
"1541",51.125,1494.5,1600,0.520547945205479,0.011,"Over"
"1542",33.5,1510.49,1550,0.167123287671233,0.0109,"Over"
"1543",65,1464.47,1475,0.252054794520548,0.0111,"Under"
"1544",7,1349.97,1450,0.0876712328767123,0.0121,"Under"
"1545",158.625,1449.62,1450,0.887671232876712,0.0114,"Under"
"1546",302,1527.35,1250,0.484931506849315,0.0106,"Under"
"1547",90,1480.87,1500,0.504109589041096,0.0111,"Under"
"1548",30.5,1387.67,1500,0.334246575342466,0.0117,"Over"
"1549",40,1487.92,1525,0.13972602739726,0.0109,"Under"
"1550",86.5,1400.72,1450,0.56986301369863,0.0117,"Under"
"1551",17.625,1342.13,1550,0.410958904109589,0.0122,"Over"
"1552",231.875,1419.89,1200,0.136986301369863,0.0116,"Under"
"1553",146,1452.42,1425,0.641095890410959,0.0114,"Under"
"1554",13.75,1491.56,1650,0.33972602739726,0.0111,"Over"
"1555",56,1472.87,1450,0.104109589041096,0.0112,"Under"
"1556",65,1401.53,1450,0.224657534246575,0.0116,"Under"
"1557",128,1494.73,1550,0.701369863013699,0.0109,"Under"
"1558",116.5,1527.46,1450,0.156164383561644,0.0106,"Under"
"1559",229,1438.56,1300,0.682191780821918,0.0113,"Under"
"1560",119,1491.72,1400,0.175342465753425,0.0111,"Under"
"1561",73.375,1365.98,1325,0.0986301369863014,0.012,"Under"
"1562",428.125,1360.69,950,0.315068493150685,0.0119,"Under"
"1563",0.5,1359.99,1550,0.104109589041096,0.012,"Over"
"1564",187,1352.17,1200,0.317808219178082,0.012,"Under"
"1565",25.5,1315.23,1450,0.29041095890411,0.0124,"Under"
"1566",184.125,1421.22,1325,0.621917808219178,0.0115,"Under"
"1567",92.375,1491.56,1450,0.33972602739726,0.0111,"Over"
"1568",182.25,1508.52,1350,0.142465753424658,0.0107,"Under"
"1569",112.125,1322.74,1250,0.167123287671233,0.0124,"Under"
"1570",77,1409.17,1350,0.117808219178082,0.0115,"Over"
"1571",190,1527.35,1350,0.158904109589041,0.0106,"Under"
"1572",29.625,1351.26,1475,0.33972602739726,0.0121,"Under"
"1573",113,1391.28,1300,0.10958904109589,0.0117,"Under"
"1574",73,1342.13,1300,0.0849315068493151,0.0122,"Under"
"1575",73.5,1360.69,1350,0.238356164383562,0.0119,"Under"
"1576",69.5,1436.28,1400,0.120547945205479,0.0114,"Under"
"1577",84,1388.76,1400,0.408219178082192,0.0118,"Under"
"1578",12,1360.16,1450,0.136986301369863,0.0119,"Over"
"1579",11,1351.26,1435,0.0904109589041096,0.0121,"Under"
"1580",165.75,1458.47,1325,0.254794520547945,0.0111,"Under"
"1581",21.5,1477.44,1550,0.145205479452055,0.011,"Over"
"1582",99,1457.84,1500,0.528767123287671,0.0112,"Under"
"1583",64,1487.37,1495,0.2,0.011,"Under"
"1584",89,1455.31,1400,0.147945205479452,0.0112,"Under"
"1585",271.75,1364.59,1100,0.104109589041096,0.012,"Under"
"1586",49.625,1514.09,1550,0.301369863013699,0.0109,"Over"
"1587",246.625,1455.31,1350,0.972602739726027,0.0112,"Under"
"1588",42,1355.62,1375,0.106849315068493,0.012,"Under"
"1589",61,1440.51,1480,0.178082191780822,0.0113,"Under"
"1590",144.75,1436.23,1325,0.205479452054795,0.0114,"Under"
"1591",221.5,1486,1325,0.493150684931507,0.011,"Under"
"1592",12,1527.46,1700,0.232876712328767,0.0106,"Over"
"1593",100.75,1314.95,1400,0.791780821917808,0.0124,"Under"
"1594",29.625,1367.72,1425,0.175342465753425,0.012,"Under"
"1595",159.375,1469.44,1400,0.50958904109589,0.0111,"Under"
"1596",168.75,1349.97,1250,0.413698630136986,0.0121,"Under"
"1597",40,1432.63,1450,0.117808219178082,0.0114,"Under"
"1598",139.75,1388.76,1275,0.158904109589041,0.0118,"Under"
